"bmicat","gawk","mu","sigma","nu","tau","P1","P2.3","P3","P5","P10","P16","P20","P25","P50","P75","P80","P84","P90","P95","P97","P97.7","P99"
"underweight",8,0.5321,1.6975,1.4306,2.8462,-2.38,-1.72,-1.54,-1.22,-0.83,-0.58,-0.45,-0.32,0.28,1.08,1.33,1.58,2.13,3.04,3.82,4.27,5.96
"underweight",9,0.6689,1.7515,1.4431,2.8961,-2.34,-1.66,-1.48,-1.15,-0.75,-0.49,-0.36,-0.22,0.41,1.25,1.51,1.77,2.34,3.29,4.1,4.57,6.31
"underweight",10,0.8178,1.8073,1.4559,2.9515,-2.28,-1.6,-1.41,-1.08,-0.67,-0.4,-0.26,-0.12,0.54,1.43,1.7,1.97,2.57,3.56,4.4,4.89,6.68
"underweight",11,0.9853,1.865,1.4688,3.0147,-2.21,-1.53,-1.33,-0.99,-0.57,-0.29,-0.15,0,0.69,1.63,1.91,2.2,2.83,3.86,4.73,5.23,7.07
"underweight",12,1.1771,1.9247,1.4822,3.0885,-2.13,-1.43,-1.24,-0.89,-0.46,-0.16,-0.02,0.14,0.87,1.85,2.15,2.46,3.11,4.19,5.09,5.61,7.5
"underweight",13,1.397,1.9866,1.4959,3.177,-2.02,-1.31,-1.12,-0.76,-0.32,-0.01,0.14,0.3,1.08,2.11,2.43,2.75,3.44,4.55,5.48,6.02,7.95
"underweight",14,1.6477,2.0509,1.51,3.2852,-1.88,-1.17,-0.97,-0.61,-0.15,0.16,0.32,0.49,1.31,2.41,2.74,3.08,3.8,4.96,5.92,6.47,8.44
"underweight",15,1.9319,2.1177,1.5248,3.4196,-1.72,-1.01,-0.81,-0.44,0.03,0.36,0.53,0.71,1.58,2.74,3.1,3.45,4.2,5.41,6.4,6.96,8.97
"underweight",16,2.2482,2.1871,1.5402,3.5866,-1.53,-0.82,-0.61,-0.24,0.25,0.59,0.76,0.96,1.88,3.12,3.49,3.86,4.65,5.9,6.92,7.49,9.52
"underweight",17,2.5921,2.2594,1.5564,3.7923,-1.32,-0.61,-0.4,-0.02,0.48,0.84,1.02,1.22,2.21,3.52,3.92,4.31,5.14,6.43,7.47,8.05,10.1
"underweight",18,2.9592,2.3345,1.5735,4.0442,-1.09,-0.38,-0.17,0.21,0.73,1.1,1.29,1.51,2.56,3.96,4.37,4.78,5.65,6.99,8.05,8.64,10.68
"underweight",19,3.3443,2.4125,1.5915,4.3519,-0.84,-0.14,0.07,0.46,0.99,1.38,1.58,1.81,2.93,4.42,4.85,5.29,6.19,7.57,8.65,9.25,11.28
"underweight",20,3.741,2.4937,1.6105,4.7275,-0.58,0.11,0.32,0.72,1.26,1.66,1.88,2.12,3.31,4.89,5.35,5.8,6.75,8.16,9.26,9.86,11.88
"underweight",21,4.1428,2.5782,1.6302,5.1863,-0.31,0.37,0.57,0.97,1.53,1.95,2.18,2.43,3.7,5.37,5.86,6.33,7.31,8.77,9.88,10.48,12.48
"underweight",22,4.5437,2.666,1.6506,5.7473,-0.05,0.62,0.82,1.23,1.8,2.23,2.47,2.74,4.09,5.86,6.37,6.86,7.88,9.37,10.49,11.09,13.07
"underweight",23,4.941,2.7574,1.6715,6.436,0.2,0.86,1.07,1.47,2.06,2.51,2.76,3.04,4.47,6.34,6.88,7.39,8.45,9.97,11.1,11.7,13.65
"underweight",24,5.3332,2.8524,1.6928,7.2857,0.45,1.1,1.3,1.71,2.31,2.78,3.04,3.34,4.85,6.82,7.38,7.92,9.01,10.57,11.71,12.31,14.23
"underweight",25,5.7191,2.9511,1.7143,8.3392,0.68,1.32,1.53,1.94,2.55,3.04,3.31,3.62,5.22,7.3,7.88,8.44,9.57,11.16,12.31,12.91,14.81
"underweight",26,6.1006,3.0536,1.7358,9.6498,0.91,1.54,1.75,2.17,2.79,3.29,3.57,3.9,5.59,7.77,8.38,8.96,10.13,11.75,12.91,13.51,15.39
"underweight",27,6.483,3.1597,1.757,11.2821,1.13,1.76,1.97,2.39,3.03,3.55,3.84,4.19,5.96,8.24,8.88,9.49,10.69,12.35,13.52,14.12,15.98
"underweight",28,6.8717,3.2691,1.7777,13.3169,1.36,1.98,2.19,2.62,3.27,3.81,4.11,4.47,6.33,8.72,9.39,10.01,11.26,12.95,14.14,14.74,16.6
"underweight",29,7.2704,3.3816,1.7978,15.8558,1.59,2.21,2.42,2.85,3.52,4.07,4.39,4.77,6.72,9.21,9.9,10.55,11.83,13.57,14.77,15.38,17.24
"underweight",30,7.6781,3.4971,1.8174,19.0275,1.83,2.45,2.66,3.1,3.78,4.35,4.68,5.07,7.11,9.71,10.42,11.1,12.42,14.2,15.42,16.04,17.9
"underweight",31,8.0929,3.6155,1.8364,22.9944,2.07,2.69,2.9,3.35,4.05,4.63,4.97,5.38,7.51,10.21,10.95,11.65,13.02,14.84,16.09,16.71,18.59
"underweight",32,8.5135,3.7366,1.855,27.9597,2.31,2.94,3.15,3.6,4.32,4.92,5.27,5.7,7.91,10.72,11.49,12.21,13.62,15.49,16.77,17.4,19.3
"underweight",33,8.9413,3.86,1.8732,34.1765,2.55,3.19,3.41,3.86,4.59,5.22,5.58,6.02,8.32,11.24,12.03,12.78,14.23,16.16,17.46,18.11,20.03
"underweight",34,9.3789,3.9856,1.8908,41.9591,2.81,3.45,3.67,4.13,4.88,5.52,5.9,6.35,8.73,11.76,12.58,13.36,14.85,16.83,18.17,18.83,20.78
"underweight",35,9.8293,4.1128,1.9078,51.6965,3.07,3.72,3.94,4.42,5.18,5.84,6.23,6.7,9.16,12.3,13.15,13.95,15.49,17.53,18.89,19.57,21.56
"underweight",36,10.2929,4.2415,1.9241,63.8714,3.35,4,4.23,4.71,5.49,6.17,6.57,7.06,9.61,12.85,13.73,14.55,16.14,18.23,19.63,20.33,22.37
"underweight",37,10.768,4.3718,1.94,79.0829,3.63,4.29,4.53,5.02,5.81,6.51,6.92,7.42,10.06,13.41,14.31,15.16,16.8,18.96,20.39,21.1,23.19
"underweight",38,11.2523,4.5037,1.9559,98.0688,3.92,4.6,4.83,5.33,6.15,6.86,7.28,7.8,10.52,13.98,14.91,15.79,17.48,19.69,21.17,21.9,24.03
"underweight",39,11.7438,4.6375,1.9718,121.7407,4.22,4.9,5.15,5.65,6.48,7.21,7.65,8.18,10.99,14.55,15.52,16.42,18.16,20.44,21.96,22.7,24.89
"underweight",40,12.2404,4.7736,1.9878,151.2484,4.52,5.22,5.46,5.98,6.83,7.57,8.02,8.57,11.46,15.14,16.13,17.06,18.85,21.19,22.75,23.52,25.77
"underweight",41,12.7398,4.9127,2.004,188.0288,4.83,5.53,5.78,6.3,7.17,7.93,8.39,8.96,11.93,15.72,16.74,17.7,19.55,21.96,23.56,24.35,26.65
"normalweight",8,0.699,2.5351,1.0951,2.5449,-4.9,-3.27,-2.84,-2.11,-1.27,-0.76,-0.52,-0.28,0.59,1.55,1.84,2.12,2.75,3.81,4.74,5.29,7.37
"normalweight",9,0.6694,2.5763,1.1201,2.5643,-4.91,-3.31,-2.89,-2.17,-1.34,-0.83,-0.59,-0.35,0.54,1.53,1.83,2.13,2.79,3.89,4.86,5.43,7.61
"normalweight",10,0.7045,2.6187,1.145,2.5923,-4.87,-3.3,-2.89,-2.18,-1.35,-0.84,-0.6,-0.36,0.54,1.58,1.89,2.2,2.89,4.05,5.07,5.66,7.92
"normalweight",11,0.7998,2.6627,1.1697,2.6304,-4.79,-3.25,-2.84,-2.14,-1.31,-0.8,-0.57,-0.32,0.61,1.7,2.02,2.35,3.08,4.29,5.34,5.96,8.31
"normalweight",12,0.9509,2.7083,1.194,2.6812,-4.67,-3.16,-2.75,-2.05,-1.23,-0.72,-0.48,-0.23,0.73,1.87,2.22,2.56,3.33,4.59,5.7,6.34,8.77
"normalweight",13,1.1533,2.7558,1.2178,2.7476,-4.52,-3.03,-2.63,-1.94,-1.11,-0.59,-0.35,-0.09,0.91,2.11,2.47,2.84,3.64,4.97,6.12,6.78,9.28
"normalweight",14,1.4026,2.8054,1.2407,2.8341,-4.34,-2.88,-2.48,-1.79,-0.96,-0.43,-0.18,0.08,1.13,2.41,2.79,3.18,4.02,5.41,6.6,7.29,9.85
"normalweight",15,1.6944,2.8573,1.2628,2.947,-4.13,-2.7,-2.3,-1.62,-0.78,-0.24,0.02,0.29,1.39,2.75,3.16,3.57,4.46,5.91,7.14,7.84,10.46
"normalweight",16,2.0242,2.9119,1.2837,3.0946,-3.9,-2.5,-2.11,-1.42,-0.57,-0.02,0.25,0.53,1.7,3.15,3.58,4.01,4.95,6.46,7.72,8.45,11.09
"normalweight",17,2.3875,2.9693,1.3033,3.2894,-3.64,-2.28,-1.9,-1.21,-0.35,0.22,0.5,0.79,2.04,3.59,4.05,4.51,5.49,7.05,8.35,9.08,11.72
"normalweight",18,2.78,3.0299,1.3213,3.5491,-3.37,-2.05,-1.67,-0.98,-0.11,0.48,0.77,1.08,2.41,4.07,4.56,5.04,6.07,7.69,9,9.73,12.35
"normalweight",19,3.1971,3.094,1.3375,3.8995,-3.08,-1.8,-1.43,-0.74,0.14,0.75,1.06,1.39,2.81,4.59,5.11,5.62,6.69,8.34,9.66,10.4,12.94
"normalweight",20,3.6348,3.1619,1.3519,4.3777,-2.76,-1.53,-1.17,-0.49,0.41,1.04,1.37,1.71,3.24,5.14,5.68,6.22,7.33,9.02,10.33,11.05,13.51
"normalweight",21,4.09,3.2336,1.3643,5.0339,-2.43,-1.25,-0.9,-0.22,0.69,1.35,1.69,2.06,3.69,5.71,6.28,6.84,7.99,9.7,11,11.7,14.04
"normalweight",22,4.5599,3.3092,1.3747,5.9387,-2.08,-0.96,-0.61,0.06,0.99,1.67,2.02,2.41,4.15,6.3,6.9,7.48,8.66,10.38,11.66,12.33,14.56
"normalweight",23,5.0414,3.3886,1.3833,7.193,-1.72,-0.65,-0.31,0.36,1.3,2.01,2.38,2.79,4.63,6.9,7.52,8.13,9.34,11.05,12.31,12.96,15.07
"normalweight",24,5.5319,3.4719,1.3899,8.9406,-1.36,-0.32,0.01,0.67,1.62,2.35,2.74,3.17,5.12,7.5,8.15,8.77,10.01,11.73,12.96,13.6,15.59
"normalweight",25,6.0283,3.5592,1.3947,11.3865,-1,0,0.33,0.99,1.96,2.72,3.12,3.57,5.62,8.1,8.78,9.42,10.68,12.4,13.62,14.23,16.15
"normalweight",26,6.5277,3.6503,1.3977,14.8214,-0.65,0.33,0.66,1.32,2.31,3.09,3.51,3.97,6.12,8.7,9.4,10.06,11.34,13.08,14.28,14.88,16.73
"normalweight",27,7.0273,3.7453,1.3989,19.6561,-0.31,0.66,0.98,1.65,2.66,3.46,3.89,4.38,6.62,9.3,10.02,10.69,12,13.75,14.95,15.55,17.35
"normalweight",28,7.5242,3.8443,1.3985,26.4672,0,0.97,1.3,1.98,3.01,3.84,4.29,4.79,7.11,9.89,10.63,11.32,12.66,14.43,15.62,16.22,18
"normalweight",29,8.0155,3.9471,1.3964,36.0573,0.3,1.28,1.61,2.3,3.36,4.21,4.67,5.19,7.6,10.47,11.23,11.94,13.3,15.1,16.31,16.9,18.67
"normalweight",30,8.4983,4.0537,1.3928,49.5307,0.57,1.56,1.9,2.6,3.69,4.57,5.05,5.59,8.08,11.03,11.81,12.54,13.94,15.77,16.99,17.59,19.36
"normalweight",31,8.9702,4.1642,1.3877,68.4005,0.82,1.83,2.18,2.9,4.02,4.92,5.42,5.98,8.54,11.59,12.39,13.14,14.57,16.43,17.67,18.28,20.07
"normalweight",32,9.4311,4.2784,1.3813,94.8124,1.04,2.07,2.43,3.17,4.33,5.26,5.78,6.35,9,12.13,12.96,13.72,15.19,17.09,18.35,18.97,20.78
"normalweight",33,9.8817,4.3966,1.3736,131.7955,1.24,2.3,2.67,3.43,4.62,5.59,6.12,6.72,9.45,12.67,13.51,14.3,15.8,17.74,19.03,19.66,21.49
"normalweight",34,10.3229,4.5187,1.3649,183.5989,1.41,2.5,2.89,3.67,4.91,5.91,6.46,7.07,9.89,13.19,14.06,14.87,16.41,18.39,19.7,20.34,22.21
"normalweight",35,10.7555,4.6448,1.3552,256.1841,1.56,2.69,3.08,3.9,5.18,6.21,6.78,7.42,10.32,13.71,14.6,15.43,17,19.04,20.38,21.03,22.94
"normalweight",36,11.1803,4.7749,1.3447,357.9152,1.69,2.86,3.27,4.11,5.43,6.51,7.1,7.75,10.74,14.23,15.14,15.99,17.6,19.68,21.05,21.72,23.66
"normalweight",37,11.598,4.9092,1.3336,500.5272,1.8,3.01,3.43,4.31,5.68,6.79,7.4,8.08,11.16,14.74,15.67,16.54,18.19,20.32,21.72,22.4,24.39
"normalweight",38,12.0094,5.0475,1.3218,700.4846,1.88,3.14,3.58,4.49,5.91,7.06,7.69,8.4,11.57,15.24,16.2,17.09,18.78,20.96,22.39,23.09,25.12
"normalweight",39,12.4154,5.1899,1.3097,980.8853,1.95,3.25,3.71,4.65,6.13,7.33,7.98,8.71,11.97,15.75,16.73,17.64,19.37,21.6,23.07,23.78,25.86
"normalweight",40,12.8167,5.3365,1.2972,1374.1299,2,3.35,3.83,4.81,6.34,7.58,8.26,9.01,12.38,16.25,17.26,18.19,19.96,22.24,23.74,24.47,26.59
"normalweight",41,13.214,5.4873,1.2845,1925.6604,2.03,3.44,3.93,4.95,6.54,7.83,8.53,9.31,12.78,16.75,17.78,18.74,20.55,22.89,24.42,25.16,27.33
"overweight",8,0.6224,3.3298,1.2704,2.1912,-3.8,-2.5,-2.17,-1.62,-1.01,-0.65,-0.48,-0.31,0.36,1.22,1.5,1.78,2.42,3.58,4.64,5.29,7.87
"overweight",9,0.6808,3.3583,1.2712,2.2219,-4.03,-2.66,-2.31,-1.72,-1.07,-0.68,-0.51,-0.32,0.4,1.33,1.62,1.93,2.62,3.84,4.97,5.66,8.37
"overweight",10,0.7557,3.3873,1.272,2.258,-4.25,-2.8,-2.44,-1.82,-1.13,-0.71,-0.52,-0.32,0.46,1.46,1.78,2.1,2.84,4.14,5.33,6.05,8.9
"overweight",11,0.8546,3.4169,1.2727,2.3005,-4.45,-2.94,-2.55,-1.9,-1.16,-0.72,-0.51,-0.3,0.54,1.62,1.96,2.3,3.09,4.47,5.73,6.48,9.45
"overweight",12,0.9844,3.4473,1.2733,2.3512,-4.63,-3.05,-2.64,-1.96,-1.18,-0.7,-0.48,-0.25,0.66,1.81,2.18,2.55,3.38,4.84,6.16,6.95,10.04
